TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_7,SWC_F_MDS_8,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,SWC_F_MDS_7_QC,SWC_F_MDS_8_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20170111,4.873,0,176.651,93.91,0,278.654,0,3.188,0,96.8,0,0.231,0,5.707,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,122.805,-9999,99.7735,-9999,-9999,-9999,19.7945,-9999,15.8804,-9999,-9999,-9999,-2.2064,0,-9999,-2.78251,-2.2064,-1.94817,0,0,0,4.98467,4.2405,4.97821,4.98367,6.84609,6.92823,6.99201,7.11505,0.819119,0.345965,0.584245,1.21622,3.26919,3.22386,3.63624,3.96735,-9999,-9999
20170112,-5.667,0,177.846,106.004,0,238.414,0,1.867,0,98.535,0,0.007,0,4.186,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,123.159,-9999,100.061,-9999,-9999,-9999,37.3507,-9999,30.3457,-9999,-9999,-9999,-2.982,0,-9999,-2.97332,-2.91882,-2.87296,0,0,0,2.64622,2.44805,2.63789,2.64494,5.43519,5.4086,5.46139,5.5599,0.195795,0.0949686,0.161326,0.283517,3.5706,3.54224,3.96683,4.32214,-9999,-9999
20170113,-4.38,0,179.095,47.399,0,277.608,0,2.087,0,99.505,0,0.053,0,3.676,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,133.138,-9999,108.169,-9999,-9999,-9999,22.3592,-9999,18.1658,-9999,-9999,-9999,-2.27718,0,-9999,-3.03729,-2.27996,-2.18564,0,0,0,2.90567,2.65654,2.89728,2.90438,5.03272,5.14268,5.36751,5.50725,0.23893,0.113874,0.192319,0.351922,1.86126,1.79195,2.0826,2.28259,-9999,-9999
20170114,-1.493,0,180.399,30.469,0,314.316,0,1.76,0,99.323,0,0.214,0,1.651,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,122.805,-9999,99.7735,-9999,-9999,-9999,19.7945,-9999,16.0822,-9999,-9999,-9999,-2.2064,0,-9999,-2.78251,-2.2064,-1.94817,0,0,0,3.51319,3.1364,3.50487,3.51191,5.37461,5.48866,5.71337,5.89819,0.356983,0.164278,0.274235,0.543972,1.26789,1.20586,1.43346,1.56341,-9999,-9999
20170115,0.018,0,181.757,11.644,0,319.302,0,1.008,0,98.579,0,9.63,0,2.768,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,123.159,-9999,100.061,-9999,-9999,-9999,37.3507,-9999,30.3457,-9999,-9999,-9999,-2.982,0,-9999,-2.97332,-2.91882,-2.87296,0,0,0,3.84226,3.3925,3.8341,3.84101,6.63123,6.35001,6.62306,6.76139,0.429659,0.194673,0.323292,0.664574,0.514756,0.482958,0.581634,0.638702,-9999,-9999
20170116,5.043,0,183.167,26.338,0,342.652,0,1.118,0,97.441,0,10.038,0,4.134,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,133.138,-9999,112.055,-9999,-9999,-9999,22.3592,-9999,18.8184,-9999,-9999,-9999,-2.27718,0,-9999,-3.03729,-2.27996,-2.18564,0,0,0,4.99766,4.26469,4.99079,4.9966,7.12471,7.03968,7.23491,7.39973,0.768224,0.329583,0.537599,1.19782,1.105,1.04899,1.24943,1.36371,-9999,-9999
20170117,1.69,0,184.63,64.334,0,297.097,0,1.175,0,97.993,0,0.036,0,2.827,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,122.805,-9999,106.942,-9999,-9999,-9999,19.7945,-9999,16.1123,-9999,-9999,-9999,-2.2064,0,-9999,-2.78251,-2.2064,-1.94817,0,0,0,4.22034,3.68111,4.2125,4.21913,6.08176,6.16898,6.36818,6.46604,0.528927,0.235009,0.387775,0.833983,2.34711,2.29251,2.61571,2.86045,-9999,-9999
20170118,2.685,0,186.146,88.045,0,274.992,0,1.546,0,97.945,0,0,0,2.787,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,123.159,-9999,107.151,-9999,-9999,-9999,37.3507,-9999,31.0802,-9999,-9999,-9999,-2.982,0,-9999,-2.97332,-2.91882,-2.87296,0,0,0,4.45845,3.85662,4.45101,4.45731,7.24742,6.81302,7.23998,7.37769,0.612748,0.267515,0.438935,0.983563,3.1654,3.10321,3.52485,3.85098,-9999,-9999
20170119,6.784,0,187.712,46.838,0,343.492,0,1.256,0,96.908,0,0.269,0,2.146,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,133.138,-9999,115.86,-9999,-9999,-9999,22.3592,-9999,18.8219,-9999,-9999,-9999,-2.27718,0,-9999,-3.03729,-2.27996,-2.18564,0,0,0,5.4031,4.56863,5.39675,5.40213,7.53015,7.38539,7.63637,7.70366,0.893322,0.379076,0.630053,1.33476,1.85093,1.77979,2.07315,2.27115,-9999,-9999
20170120,7.744,0,189.328,23.477,0,341.242,0,1.289,0,96.135,0,0.448,0,2.249,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,122.805,-9999,106.882,-9999,-9999,-9999,19.7945,-9999,16.7779,-9999,-9999,-9999,-2.2064,0,-9999,-2.78251,-2.2064,-1.94817,0,0,0,5.63144,4.7366,5.62548,5.63052,7.49286,7.4869,7.57536,7.65848,0.977082,0.411256,0.697859,1.41716,1.01039,0.953835,1.14208,1.25011,-9999,-9999
20170121,6.899,0,190.994,122.45,0,284.357,0,2.348,0,96.062,0,0.083,0,2.758,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,123.159,-9999,107.2,-9999,-9999,-9999,37.3507,-9999,31.8031,-9999,-9999,-9999,-2.982,0,-9999,-2.97332,-2.91882,-2.87296,0,0,0,5.43464,4.58877,5.42843,5.43368,8.2236,7.53912,8.2174,8.35407,0.918244,0.38781,0.652926,1.35129,3.95884,3.95592,4.39199,4.77756,-9999,-9999
20170122,4.966,0,192.71,104.036,0,299.789,0,2.12,0,96.766,0,0.012,0,4.655,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,133.138,-9999,115.894,-9999,-9999,-9999,22.3592,-9999,19.1001,-9999,-9999,-9999,-2.27718,0,-9999,-3.03729,-2.27996,-2.18564,0,0,0,4.97523,4.2506,4.96825,4.97415,7.10227,7.02687,7.21246,7.38564,0.750303,0.323269,0.527993,1.1858,3.50547,3.47635,3.89484,4.24418,-9999,-9999
20170123,1.637,0,194.475,120.439,0,254.468,0,1.682,0,97.292,0,0,0,2.059,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,122.805,-9999,106.905,-9999,-9999,-9999,19.7945,-9999,16.9503,-9999,-9999,-9999,-2.2064,0,-9999,-2.78251,-2.2064,-1.94817,0,0,0,4.21214,3.6732,4.20435,4.21095,6.07356,6.16079,6.35983,6.45782,0.532023,0.235904,0.389015,0.84076,3.92536,3.91574,4.35635,4.74076,-9999,-9999
20170124,5.384,0,196.286,107.463,0,281.317,0,2.518,0,96.38,0,0.903,0,4.854,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,123.159,-9999,107.217,-9999,-9999,-9999,37.3507,-9999,32.044,-9999,-9999,-9999,-2.982,0,-9999,-2.97332,-2.91882,-2.87296,0,0,0,5.08564,4.32554,5.07904,5.08463,7.87461,7.27848,7.86801,8.00501,0.815777,0.346964,0.57453,1.2358,3.64241,3.60846,4.04777,4.41181,-9999,-9999
20170125,1.304,0,198.145,53.753,0,295.756,0,2.25,0,97.059,0,0.037,0,6.418,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,133.138,-9999,116.819,-9999,-9999,-9999,22.3592,-9999,19.3643,-9999,-9999,-9999,-2.27718,0,-9999,-3.03729,-2.27996,-2.18564,0,0,0,4.13211,3.61417,4.12418,4.13089,6.25915,6.33572,6.40643,6.6221,0.504492,0.225165,0.372084,0.791934,2.09568,2.02102,2.34142,2.5681,-9999,-9999
20170126,-1.334,0,200.049,69.791,0,274.545,0,2.269,0,98.116,0,0.043,0,4.622,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,122.805,-9999,108.442,-9999,-9999,-9999,19.7945,-9999,17.2748,-9999,-9999,-9999,-2.2064,0,-9999,-2.78251,-2.2064,-1.94817,0,0,0,3.54783,3.16339,3.53953,3.54656,5.40925,5.51642,5.74803,5.92551,0.364615,0.167468,0.279384,0.556647,2.59766,2.52841,2.89686,3.17035,-9999,-9999
20170127,0.654,0,201.999,136.899,0,239.989,0,3.282,0,98.057,0,0.001,0,5.193,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,123.159,-9999,109.521,-9999,-9999,-9999,37.3507,-9999,32.8285,-9999,-9999,-9999,-2.982,0,-9999,-2.97332,-2.91882,-2.87296,0,0,0,4.00514,3.50921,3.99733,4.00394,6.79411,6.46497,6.7863,6.92432,0.494748,0.21966,0.362458,0.781546,4.33216,4.3449,4.80273,5.22006,-9999,-9999
20170128,3.558,0,203.992,108.74,0,272.91,0,3.578,0,97.803,0,0.057,0,5.429,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,133.138,-9999,119.223,-9999,-9999,-9999,22.3592,-9999,20.0222,-9999,-9999,-9999,-2.27718,0,-9999,-3.03729,-2.27996,-2.18564,0,0,0,4.65864,4.008,4.65141,4.65752,6.78568,6.77846,6.89729,7.10234,0.67058,0.290613,0.475655,1.08397,3.63499,3.60994,4.03761,4.39833,-9999,-9999
