# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2024-02-11 13:56:55 EST       (sdww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01622000 NORTH RIVER NEAR BURKETOWN, VA
# -----------------------------------------------------------------------------------
#
# Data provided for site 01622000
#            TS   parameter     statistic     Description
#        144616       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	144616_00060_00003	144616_00060_00003_cd
USGS	01622000	1927-02-16	348	A
USGS	01622000	1927-02-17	348	A
USGS	01622000	1927-02-18	327	A
USGS	01622000	1927-02-19	798	A
USGS	01622000	1927-02-20	1150	A
USGS	01622000	1927-02-21	1070	A
USGS	01622000	1927-02-22	914	A
USGS	01622000	1927-02-23	1230	A
USGS	01622000	1927-02-24	2160	A
USGS	01622000	1927-02-25	1820	A
USGS	01622000	1927-02-26	1480	A
USGS	01622000	1927-02-27	1150	A
USGS	01622000	1927-02-28	914	A
USGS	01622000	1927-03-01	760	A
USGS	01622000	1927-03-02	684	A
USGS	01622000	1927-03-03	573	A
USGS	01622000	1927-03-04	529	A
USGS	01622000	1927-03-05	462	A
USGS	01622000	1927-03-06	433	A
USGS	01622000	1927-03-07	419	A
USGS	01622000	1927-03-08	390	A
USGS	01622000	1927-03-09	390	A
USGS	01622000	1927-03-10	383	A
USGS	01622000	1927-03-11	362	A
USGS	01622000	1927-03-12	362	A
USGS	01622000	1927-03-13	334	A
USGS	01622000	1927-03-14	355	A
USGS	01622000	1927-03-15	348	A
USGS	01622000	1927-03-16	348	A
USGS	01622000	1927-03-17	348	A
USGS	01622000	1927-03-18	355	A
USGS	01622000	1927-03-19	348	A
USGS	01622000	1927-03-20	348	A
USGS	01622000	1927-03-21	334	A
USGS	01622000	1927-03-22	320	A
USGS	01622000	1927-03-23	302	A
USGS	01622000	1927-03-24	283	A
USGS	01622000	1927-03-25	283	A
USGS	01622000	1927-03-26	259	A
USGS	01622000	1927-03-27	237	A
USGS	01622000	1927-03-28	242	A
USGS	01622000	1927-03-29	231	A
USGS	01622000	1927-03-30	220	A
USGS	01622000	1927-03-31	214	A
USGS	01622000	1927-04-01	308	A
USGS	01622000	1927-04-02	610	A
USGS	01622000	1927-04-03	760	A
USGS	01622000	1927-04-04	1230	A
USGS	01622000	1927-04-05	1230	A
USGS	01622000	1927-04-06	1390	A
USGS	01622000	1927-04-07	1310	A
USGS	01622000	1927-04-08	992	A
USGS	01622000	1927-04-09	1560	A
USGS	01622000	1927-04-10	1900	A
USGS	01622000	1927-04-11	1640	A
USGS	01622000	1927-04-12	1310	A
USGS	01622000	1927-04-13	992	A
USGS	01622000	1927-04-14	914	A
USGS	01622000	1927-04-15	798	A
USGS	01622000	1927-04-16	760	A
USGS	01622000	1927-04-17	722	A
USGS	01622000	1927-04-18	610	A
USGS	01622000	1927-04-19	610	A
USGS	01622000	1927-04-20	798	A
USGS	01622000	1927-04-21	2080	A
USGS	01622000	1927-04-22	3490	A
USGS	01622000	1927-04-23	2590	A
USGS	01622000	1927-04-24	1560	A
USGS	01622000	1927-04-25	1070	A
USGS	01622000	1927-04-26	875	A
USGS	01622000	1927-04-27	760	A
USGS	01622000	1927-04-28	684	A
USGS	01622000	1927-04-29	573	A
USGS	01622000	1927-04-30	760	A
USGS	01622000	1927-05-01	1820	A
USGS	01622000	1927-05-02	1390	A
USGS	01622000	1927-05-03	1070	A
USGS	01622000	1927-05-04	836	A
USGS	01622000	1927-05-05	722	A
USGS	01622000	1927-05-06	610	A
USGS	01622000	1927-05-07	573	A
USGS	01622000	1927-05-08	492	A
USGS	01622000	1927-05-09	477	A
USGS	01622000	1927-05-10	412	A
USGS	01622000	1927-05-11	390	A
USGS	01622000	1927-05-12	404	A
USGS	01622000	1927-05-13	334	A
USGS	01622000	1927-05-14	334	A
USGS	01622000	1927-05-15	308	A
USGS	01622000	1927-05-16	302	A
USGS	01622000	1927-05-17	296	A
USGS	01622000	1927-05-18	271	A
USGS	01622000	1927-05-19	259	A
USGS	01622000	1927-05-20	237	A
USGS	01622000	1927-05-21	231	A
USGS	01622000	1927-05-22	214	A
USGS	01622000	1927-05-23	237	A
USGS	01622000	1927-05-24	248	A
USGS	01622000	1927-05-25	259	A
USGS	01622000	1927-05-26	253	A
USGS	01622000	1927-05-27	225	A
USGS	01622000	1927-05-28	214	A
USGS	01622000	1927-05-29	203	A
USGS	01622000	1927-05-30	225	A
USGS	01622000	1927-05-31	203	A
USGS	01622000	1927-06-01	193	A
USGS	01622000	1927-06-02	183	A
USGS	01622000	1927-06-03	203	A
USGS	01622000	1927-06-04	203	A
USGS	01622000	1927-06-05	183	A
USGS	01622000	1927-06-06	193	A
USGS	01622000	1927-06-07	198	A
USGS	01622000	1927-06-08	188	A
USGS	01622000	1927-06-09	178	A
USGS	01622000	1927-06-10	173	A
USGS	01622000	1927-06-11	163	A
USGS	01622000	1927-06-12	163	A
USGS	01622000	1927-06-13	173	A
USGS	01622000	1927-06-14	214	A
USGS	01622000	1927-06-15	225	A
USGS	01622000	1927-06-16	225	A
USGS	01622000	1927-06-17	225	A
USGS	01622000	1927-06-18	183	A
USGS	01622000	1927-06-19	203	A
USGS	01622000	1927-06-20	214	A
USGS	01622000	1927-06-21	193	A
USGS	01622000	1927-06-22	173	A
USGS	01622000	1927-06-23	173	A
USGS	01622000	1927-06-24	173	A
USGS	01622000	1927-06-25	163	A
USGS	01622000	1927-06-26	143	A
USGS	01622000	1927-06-27	148	A
USGS	01622000	1927-06-28	139	A
USGS	01622000	1927-06-29	134	A
USGS	01622000	1927-06-30	139	A
USGS	01622000	1927-07-01	124	A
USGS	01622000	1927-07-02	134	A
USGS	01622000	1927-07-03	115	A
USGS	01622000	1927-07-04	124	A
USGS	01622000	1927-07-05	119	A
USGS	01622000	1927-07-06	115	A
USGS	01622000	1927-07-07	97.0	A
USGS	01622000	1927-07-08	110	A
USGS	01622000	1927-07-09	115	A
USGS	01622000	1927-07-10	105	A
USGS	01622000	1927-07-11	124	A
USGS	01622000	1927-07-12	119	A
USGS	01622000	1927-07-13	105	A
USGS	01622000	1927-07-14	97.0	A
USGS	01622000	1927-07-15	105	A
USGS	01622000	1927-07-16	225	A
USGS	01622000	1927-07-17	119	A
USGS	01622000	1927-07-18	115	A
USGS	01622000	1927-07-19	334	A
USGS	01622000	1927-07-20	153	A
USGS	01622000	1927-07-21	178	A
USGS	01622000	1927-07-22	134	A
USGS	01622000	1927-07-23	163	A
USGS	01622000	1927-07-24	124	A
USGS	01622000	1927-07-25	124	A
USGS	01622000	1927-07-26	134	A
USGS	01622000	1927-07-27	143	A
USGS	01622000	1927-07-28	134	A
USGS	01622000	1927-07-29	134	A
USGS	01622000	1927-07-30	383	A
USGS	01622000	1927-07-31	188	A
USGS	01622000	1927-08-01	253	A
USGS	01622000	1927-08-02	183	A
USGS	01622000	1927-08-03	148	A
USGS	01622000	1927-08-04	193	A
USGS	01622000	1927-08-05	148	A
USGS	01622000	1927-08-06	214	A
USGS	01622000	1927-08-07	183	A
USGS	01622000	1927-08-08	163	A
USGS	01622000	1927-08-09	163	A
USGS	01622000	1927-08-10	163	A
USGS	01622000	1927-08-11	143	A
USGS	01622000	1927-08-12	124	A
USGS	01622000	1927-08-13	105	A
USGS	01622000	1927-08-14	115	A
USGS	01622000	1927-08-15	143	A
USGS	01622000	1927-08-16	134	A
USGS	01622000	1927-08-17	163	A
USGS	01622000	1927-08-18	163	A
USGS	01622000	1927-08-19	153	A
USGS	01622000	1927-08-20	225	A
USGS	01622000	1927-08-21	129	A
USGS	01622000	1927-08-22	143	A
USGS	01622000	1927-08-23	143	A
USGS	01622000	1927-08-24	153	A
USGS	01622000	1927-08-25	134	A
USGS	01622000	1927-08-26	134	A
USGS	01622000	1927-08-27	129	A
USGS	01622000	1927-08-28	115	A
USGS	01622000	1927-08-29	115	A
USGS	01622000	1927-08-30	115	A
USGS	01622000	1927-08-31	134	A
USGS	01622000	1927-09-01	115	A
USGS	01622000	1927-09-02	124	A
USGS	01622000	1927-09-03	110	A
USGS	01622000	1927-09-04	89.0	A
USGS	01622000	1927-09-05	129	A
USGS	01622000	1927-09-06	115	A
USGS	01622000	1927-09-07	97.0	A
USGS	01622000	1927-09-08	110	A
USGS	01622000	1927-09-09	81.0	A
USGS	01622000	1927-09-10	115	A
USGS	01622000	1927-09-11	105	A
USGS	01622000	1927-09-12	105	A
USGS	01622000	1927-09-13	101	A
USGS	01622000	1927-09-14	89.0	A
USGS	01622000	1927-09-15	115	A
USGS	01622000	1927-09-16	115	A
USGS	01622000	1927-09-17	97.0	A
USGS	01622000	1927-09-18	97.0	A
USGS	01622000	1927-09-19	89.0	A
USGS	01622000	1927-09-20	110	A
USGS	01622000	1927-09-21	89.0	A
USGS	01622000	1927-09-22	115	A
USGS	01622000	1927-09-23	105	A
USGS	01622000	1927-09-24	93.0	A
USGS	01622000	1927-09-25	89.0	A
USGS	01622000	1927-09-26	77.0	A
USGS	01622000	1927-09-27	97.0	A
USGS	01622000	1927-09-28	81.0	A
USGS	01622000	1927-09-29	89.0	A
USGS	01622000	1927-09-30	73.0	A
USGS	01622000	1927-10-01	93.0	A
USGS	01622000	1927-10-02	73.0	A
USGS	01622000	1927-10-03	73.0	A
USGS	01622000	1927-10-04	193	A
USGS	01622000	1927-10-05	115	A
USGS	01622000	1927-10-06	115	A
USGS	01622000	1927-10-07	97.0	A
USGS	01622000	1927-10-08	89.0	A
USGS	01622000	1927-10-09	89.0	A
USGS	01622000	1927-10-10	93.0	A
USGS	01622000	1927-10-11	89.0	A
USGS	01622000	1927-10-12	124	A
USGS	01622000	1927-10-13	3450	A
USGS	01622000	1927-10-14	1230	A
USGS	01622000	1927-10-15	722	A
USGS	01622000	1927-10-16	492	A
USGS	01622000	1927-10-17	404	A
USGS	01622000	1927-10-18	448	A
USGS	01622000	1927-10-19	647	A
USGS	01622000	1927-10-20	836	A
USGS	01622000	1927-10-21	798	A
USGS	01622000	1927-10-22	722	A
USGS	01622000	1927-10-23	573	A
USGS	01622000	1927-10-24	462	A
USGS	01622000	1927-10-25	348	A
USGS	01622000	1927-10-26	314	A
USGS	01622000	1927-10-27	271	A
USGS	01622000	1927-10-28	248	A
USGS	01622000	1927-10-29	225	A
USGS	01622000	1927-10-30	193	A
USGS	01622000	1927-10-31	183	A
USGS	01622000	1927-11-01	203	A
USGS	01622000	1927-11-02	178	A
USGS	01622000	1927-11-03	193	A
USGS	01622000	1927-11-04	193	A
USGS	01622000	1927-11-05	198	A
USGS	01622000	1927-11-06	183	A
USGS	01622000	1927-11-07	203	A
USGS	01622000	1927-11-08	193	A
USGS	01622000	1927-11-09	203	A
USGS	01622000	1927-11-10	193	A
USGS	01622000	1927-11-11	193	A
USGS	01622000	1927-11-12	193	A
USGS	01622000	1927-11-13	193	A
USGS	01622000	1927-11-14	214	A
USGS	01622000	1927-11-15	214	A
USGS	01622000	1927-11-16	203	A
USGS	01622000	1927-11-17	573	A
USGS	01622000	1927-11-18	1560	A
USGS	01622000	1927-11-19	1150	A
USGS	01622000	1927-11-20	836	A
USGS	01622000	1927-11-21	647	A
USGS	01622000	1927-11-22	573	A
USGS	01622000	1927-11-23	462	A
USGS	01622000	1927-11-24	397	A
USGS	01622000	1927-11-25	362	A
USGS	01622000	1927-11-26	314	A
USGS	01622000	1927-11-27	277	A
USGS	01622000	1927-11-28	265	A
USGS	01622000	1927-11-29	248	A
USGS	01622000	1927-11-30	237	A
USGS	01622000	1927-12-01	203	A
USGS	01622000	1927-12-02	283	A
USGS	01622000	1927-12-03	433	A
USGS	01622000	1927-12-04	448	A
USGS	01622000	1927-12-05	492	A
USGS	01622000	1927-12-06	573	A
USGS	01622000	1927-12-07	647	A
USGS	01622000	1927-12-08	1650	A
USGS	01622000	1927-12-09	1650	A
USGS	01622000	1927-12-10	1150	A
USGS	01622000	1927-12-11	836	A
USGS	01622000	1927-12-12	760	A
USGS	01622000	1927-12-13	610	A
USGS	01622000	1927-12-14	536	A
USGS	01622000	1927-12-15	469	A
USGS	01622000	1927-12-16	455	A
USGS	01622000	1927-12-17	433	A
USGS	01622000	1927-12-18	390	A
USGS	01622000	1927-12-19	369	A
USGS	01622000	1927-12-20	348	A
USGS	01622000	1927-12-21	334	A
USGS	01622000	1927-12-22	327	A
USGS	01622000	1927-12-23	290	A
USGS	01622000	1927-12-24	271	A
USGS	01622000	1927-12-25	248	A
USGS	01622000	1927-12-26	248	A
USGS	01622000	1927-12-27	237	A
USGS	01622000	1927-12-28	225	A
USGS	01622000	1927-12-29	220	A
USGS	01622000	1927-12-30	225	A
USGS	01622000	1927-12-31	248	A
USGS	01622000	1928-01-01	225	A
USGS	01622000	1928-01-02	225	A
USGS	01622000	1928-01-03	225	A
USGS	01622000	1928-01-04	362	A
USGS	01622000	1928-01-05	320	A
USGS	01622000	1928-01-06	225	A
USGS	01622000	1928-01-07	209	A
USGS	01622000	1928-01-08	188	A
USGS	01622000	1928-01-09	225	A
USGS	01622000	1928-01-10	193	A
USGS	01622000	1928-01-11	198	A
USGS	01622000	1928-01-12	183	A
USGS	01622000	1928-01-13	183	A
USGS	01622000	1928-01-14	163	A
USGS	01622000	1928-01-15	163	A
USGS	01622000	1928-01-16	183	A
USGS	01622000	1928-01-17	163	A
USGS	01622000	1928-01-18	163	A
USGS	01622000	1928-01-19	183	A
USGS	01622000	1928-01-20	271	A
USGS	01622000	1928-01-21	341	A
USGS	01622000	1928-01-22	412	A
USGS	01622000	1928-01-23	412	A
USGS	01622000	1928-01-24	383	A
USGS	01622000	1928-01-25	521	A
USGS	01622000	1928-01-26	506	A
USGS	01622000	1928-01-27	484	A
USGS	01622000	1928-01-28	462	A
USGS	01622000	1928-01-29	404	A
USGS	01622000	1928-01-30	390	A
USGS	01622000	1928-01-31	334	A
USGS	01622000	1928-02-01	308	A
USGS	01622000	1928-02-02	283	A
USGS	01622000	1928-02-03	265	A
USGS	01622000	1928-02-04	248	A
USGS	01622000	1928-02-05	231	A
USGS	01622000	1928-02-06	248	A
USGS	01622000	1928-02-07	225	A
USGS	01622000	1928-02-08	390	A
USGS	01622000	1928-02-09	348	A
USGS	01622000	1928-02-10	355	A
USGS	01622000	1928-02-11	348	A
USGS	01622000	1928-02-12	327	A
USGS	01622000	1928-02-13	334	A
USGS	01622000	1928-02-14	355	A
USGS	01622000	1928-02-15	684	A
USGS	01622000	1928-02-16	760	A
USGS	01622000	1928-02-17	722	A
USGS	01622000	1928-02-18	647	A
USGS	01622000	1928-02-19	573	A
USGS	01622000	1928-02-20	506	A
USGS	01622000	1928-02-21	433	A
USGS	01622000	1928-02-22	390	A
USGS	01622000	1928-02-23	433	A
USGS	01622000	1928-02-24	448	A
USGS	01622000	1928-02-25	433	A
USGS	01622000	1928-02-26	419	A
USGS	01622000	1928-02-27	419	A
USGS	01622000	1928-02-28	397	A
USGS	01622000	1928-02-29	376	A
USGS	01622000	1928-03-01	348	A
USGS	01622000	1928-03-02	308	A
USGS	01622000	1928-03-03	283	A
USGS	01622000	1928-03-04	265	A
USGS	01622000	1928-03-05	271	A
USGS	01622000	1928-03-06	248	A
USGS	01622000	1928-03-07	231	A
USGS	01622000	1928-03-08	231	A
USGS	01622000	1928-03-09	237	A
USGS	01622000	1928-03-10	214	A
USGS	01622000	1928-03-11	259	A
USGS	01622000	1928-03-12	259	A
USGS	01622000	1928-03-13	214	A
USGS	01622000	1928-03-14	188	A
USGS	01622000	1928-03-15	193	A
USGS	01622000	1928-03-16	188	A
USGS	01622000	1928-03-17	183	A
USGS	01622000	1928-03-18	203	A
USGS	01622000	1928-03-19	214	A
USGS	01622000	1928-03-20	209	A
USGS	01622000	1928-03-21	248	A
USGS	01622000	1928-03-22	320	A
USGS	01622000	1928-03-23	573	A
USGS	01622000	1928-03-24	836	A
USGS	01622000	1928-03-25	875	A
USGS	01622000	1928-03-26	836	A
USGS	01622000	1928-03-27	722	A
USGS	01622000	1928-03-28	610	A
USGS	01622000	1928-03-29	521	A
USGS	01622000	1928-03-30	521	A
USGS	01622000	1928-03-31	469	A
USGS	01622000	1928-04-01	433	A
USGS	01622000	1928-04-02	440	A
USGS	01622000	1928-04-03	404	A
USGS	01622000	1928-04-04	376	A
USGS	01622000	1928-04-05	362	A
USGS	01622000	1928-04-06	348	A
USGS	01622000	1928-04-07	348	A
USGS	01622000	1928-04-08	610	A
USGS	01622000	1928-04-09	836	A
USGS	01622000	1928-04-10	760	A
USGS	01622000	1928-04-11	684	A
USGS	01622000	1928-04-12	1230	A
USGS	01622000	1928-04-13	1230	A
USGS	01622000	1928-04-14	1070	A
USGS	01622000	1928-04-15	875	A
USGS	01622000	1928-04-16	684	A
USGS	01622000	1928-04-17	610	A
USGS	01622000	1928-04-18	506	A
USGS	01622000	1928-04-19	448	A
USGS	01622000	1928-04-20	390	A
USGS	01622000	1928-04-21	362	A
USGS	01622000	1928-04-22	334	A
USGS	01622000	1928-04-23	376	A
USGS	01622000	1928-04-24	477	A
USGS	01622000	1928-04-25	492	A
USGS	01622000	1928-04-26	499	A
USGS	01622000	1928-04-27	536	A
USGS	01622000	1928-04-28	760	A
USGS	01622000	1928-04-29	1480	A
USGS	01622000	1928-04-30	3370	A
USGS	01622000	1928-05-01	5260	A
USGS	01622000	1928-05-02	2850	A
USGS	01622000	1928-05-03	1730	A
USGS	01622000	1928-05-04	1150	A
USGS	01622000	1928-05-05	875	A
USGS	01622000	1928-05-06	760	A
USGS	01622000	1928-05-07	647	A
USGS	01622000	1928-05-08	573	A
USGS	01622000	1928-05-09	521	A
USGS	01622000	1928-05-10	462	A
USGS	01622000	1928-05-11	419	A
USGS	01622000	1928-05-12	376	A
USGS	01622000	1928-05-13	334	A
USGS	01622000	1928-05-14	320	A
USGS	01622000	1928-05-15	302	A
USGS	01622000	1928-05-16	283	A
USGS	01622000	1928-05-17	271	A
USGS	01622000	1928-05-18	271	A
USGS	01622000	1928-05-19	248	A
USGS	01622000	1928-05-20	259	A
USGS	01622000	1928-05-21	271	A
USGS	01622000	1928-05-22	348	A
USGS	01622000	1928-05-23	302	A
USGS	01622000	1928-05-24	308	A
USGS	01622000	1928-05-25	320	A
USGS	01622000	1928-05-26	334	A
USGS	01622000	1928-05-27	296	A
USGS	01622000	1928-05-28	320	A
USGS	01622000	1928-05-29	283	A
USGS	01622000	1928-05-30	283	A
USGS	01622000	1928-05-31	271	A
USGS	01622000	1928-06-01	259	A
USGS	01622000	1928-06-02	259	A
USGS	01622000	1928-06-03	214	A
USGS	01622000	1928-06-04	225	A
USGS	01622000	1928-06-05	225	A
USGS	01622000	1928-06-06	314	A
USGS	01622000	1928-06-07	722	A
USGS	01622000	1928-06-08	647	A
USGS	01622000	1928-06-09	521	A
USGS	01622000	1928-06-10	440	A
USGS	01622000	1928-06-11	390	A
USGS	01622000	1928-06-12	334	A
USGS	01622000	1928-06-13	376	A
USGS	01622000	1928-06-14	376	A
USGS	01622000	1928-06-15	296	A
USGS	01622000	1928-06-16	253	A
USGS	01622000	1928-06-17	225	A
USGS	01622000	1928-06-18	214	A
USGS	01622000	1928-06-19	237	A
USGS	01622000	1928-06-20	369	A
USGS	01622000	1928-06-21	499	A
USGS	01622000	1928-06-22	521	A
USGS	01622000	1928-06-23	448	A
USGS	01622000	1928-06-24	477	A
USGS	01622000	1928-06-25	610	A
USGS	01622000	1928-06-26	536	A
USGS	01622000	1928-06-27	477	A
USGS	01622000	1928-06-28	404	A
USGS	01622000	1928-06-29	448	A
USGS	01622000	1928-06-30	448	A
USGS	01622000	1928-07-01	404	A
USGS	01622000	1928-07-02	362	A
USGS	01622000	1928-07-03	296	A
USGS	01622000	1928-07-04	320	A
USGS	01622000	1928-07-05	296	A
USGS	01622000	1928-07-06	231	A
USGS	01622000	1928-07-07	188	A
USGS	01622000	1928-07-08	173	A
USGS	01622000	1928-07-09	178	A
USGS	01622000	1928-07-10	242	A
USGS	01622000	1928-07-11	259	A
USGS	01622000	1928-07-12	1070	A
USGS	01622000	1928-07-13	1070	A
USGS	01622000	1928-07-14	914	A
USGS	01622000	1928-07-15	573	A
USGS	01622000	1928-07-16	448	A
USGS	01622000	1928-07-17	348	A
USGS	01622000	1928-07-18	283	A
USGS	01622000	1928-07-19	259	A
USGS	01622000	1928-07-20	231	A
USGS	01622000	1928-07-21	203	A
USGS	01622000	1928-07-22	193	A
USGS	01622000	1928-07-23	198	A
USGS	01622000	1928-07-24	183	A
USGS	01622000	1928-07-25	183	A
USGS	01622000	1928-07-26	168	A
USGS	01622000	1928-07-27	163	A
USGS	01622000	1928-07-28	163	A
USGS	01622000	1928-07-29	143	A
USGS	01622000	1928-07-30	153	A
USGS	01622000	1928-07-31	129	A
USGS	01622000	1928-08-01	143	A
USGS	01622000	1928-08-02	193	A
USGS	01622000	1928-08-03	158	A
USGS	01622000	1928-08-04	143	A
USGS	01622000	1928-08-05	124	A
USGS	01622000	1928-08-06	193	A
USGS	01622000	1928-08-07	242	A
USGS	01622000	1928-08-08	237	A
USGS	01622000	1928-08-09	178	A
USGS	01622000	1928-08-10	173	A
USGS	01622000	1928-08-11	209	A
USGS	01622000	1928-08-12	1650	A
USGS	01622000	1928-08-13	1230	A
USGS	01622000	1928-08-14	760	A
USGS	01622000	1928-08-15	536	A
USGS	01622000	1928-08-16	2420	A
USGS	01622000	1928-08-17	4310	A
USGS	01622000	1928-08-18	2590	A
USGS	01622000	1928-08-19	1480	A
USGS	01622000	1928-08-20	836	A
USGS	01622000	1928-08-21	760	A
USGS	01622000	1928-08-22	573	A
USGS	01622000	1928-08-23	521	A
USGS	01622000	1928-08-24	448	A
USGS	01622000	1928-08-25	477	A
USGS	01622000	1928-08-26	404	A
USGS	01622000	1928-08-27	484	A
USGS	01622000	1928-08-28	573	A
USGS	01622000	1928-08-29	492	A
USGS	01622000	1928-08-30	433	A
USGS	01622000	1928-08-31	521	A
USGS	01622000	1928-09-01	573	A
USGS	01622000	1928-09-02	492	A
USGS	01622000	1928-09-03	536	A
USGS	01622000	1928-09-04	506	A
USGS	01622000	1928-09-05	448	A
USGS	01622000	1928-09-06	536	A
USGS	01622000	1928-09-07	536	A
USGS	01622000	1928-09-08	529	A
USGS	01622000	1928-09-09	462	A
USGS	01622000	1928-09-10	412	A
USGS	01622000	1928-09-11	362	A
USGS	01622000	1928-09-12	320	A
USGS	01622000	1928-09-13	277	A
USGS	01622000	1928-09-14	248	A
USGS	01622000	1928-09-15	259	A
USGS	01622000	1928-09-16	271	A
USGS	01622000	1928-09-17	248	A
USGS	01622000	1928-09-18	760	A
USGS	01622000	1928-09-19	259	A
USGS	01622000	1928-09-20	521	A
USGS	01622000	1928-09-21	760	A
USGS	01622000	1928-09-22	610	A
USGS	01622000	1928-09-23	462	A
USGS	01622000	1928-09-24	376	A
USGS	01622000	1928-09-25	320	A
USGS	01622000	1928-09-26	283	A
USGS	01622000	1928-09-27	248	A
USGS	01622000	1928-09-28	237	A
USGS	01622000	1928-09-29	225	A
USGS	01622000	1928-09-30	242	A
USGS	01622000	1928-10-01	246	A
USGS	01622000	1928-10-02	223	A
USGS	01622000	1928-10-03	212	A
USGS	01622000	1928-10-04	202	A
USGS	01622000	1928-10-05	186	A
USGS	01622000	1928-10-06	202	A
USGS	01622000	1928-10-07	170	A
USGS	01622000	1928-10-08	181	A
USGS	01622000	1928-10-09	155	A
USGS	01622000	1928-10-10	160	A
USGS	01622000	1928-10-11	160	A
USGS	01622000	1928-10-12	160	A
USGS	01622000	1928-10-13	150	A
USGS	01622000	1928-10-14	130	A
USGS	01622000	1928-10-15	170	A
USGS	01622000	1928-10-16	150	A
USGS	01622000	1928-10-17	145	A
USGS	01622000	1928-10-18	145	A
USGS	01622000	1928-10-19	150	A
USGS	01622000	1928-10-20	140	A
USGS	01622000	1928-10-21	120	A
USGS	01622000	1928-10-22	130	A
USGS	01622000	1928-10-23	150	A
USGS	01622000	1928-10-24	160	A
USGS	01622000	1928-10-25	140	A
USGS	01622000	1928-10-26	145	A
USGS	01622000	1928-10-27	140	A
USGS	01622000	1928-10-28	120	A
USGS	01622000	1928-10-29	130	A
USGS	01622000	1928-10-30	140	A
USGS	01622000	1928-10-31	135	A
USGS	01622000	1928-11-01	120	A
USGS	01622000	1928-11-02	120	A
USGS	01622000	1928-11-03	140	A
USGS	01622000	1928-11-04	120	A
